Kode Variabel,Label,label_english,Variable Type,Aggregation Method,aggregation,Notes
R903CK2,JUMLAH BANK PERKREDITAN RAKYAT (BPR),Number of People's Credit Banks (BPR),village level,total number of rural banks,sum,
R903CK3,JARAK TERDEKAT KE BANK PERKREDITAN RAKYAT (BPR),The closest distance to the People's Credit Bank (BPR),village level,average distance to rural banks,mean,
R903CK4,KEMUDAHAN UNTUK MENCAPAI BANK PERKREDITAN RAKYAT (BPR),Ease of achieving a People's Credit Bank (BPR),village level,proportion of ease of achieving rural bank,proportion,
R904A,JUMLAH KOPERASI UNIT DESA (KUD) YANG BEROPERASI,The number of operating village unit cooperatives (KUD),village level,total number of operating village unit cooperatives,sum,
R904B,JUMLAH KOPERASI INDUSTRI KECIL DAN KERAJINAN RAKYAT (KOPINKRA)/USAHA MIKRO,Number of Small Industrial Cooperatives and People's Crafts (Kopinkra)/Micro Business,village level,total number of small industrial cooperatives,sum,
R904C,JUMLAH KOPERASI SIMPAN PINJAM (KOSPIN),Number of Savings and Loan Cooperatives (Kospin),village level,total number of savings and loan cooperatives ,sum,
R904D,JUMLAH KOPERASI LAINNYA,Number of other cooperatives,village level,total number of other cooperatives,sum,
R905,KEBERADAAN SALON KECANTIKAN,The existence of a beauty salon,village level,proportiono f beauty salons,proportion,
R906AK2,JUMLAH KELOMPOK PERTOKOAN,Number of shopping groups,village level,total number of shopping groups ,sum,
R906AK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE KELOMPOK PERTOKOAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the nearest shopping group (km)",village level,average distance to nearst shopping group,mean,
R906AK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI KELOMPOK PERTOKOAN","If there is no [column (2) filled with 0], the ease of reaching the shopping group",village level,proportion of ease of access,proportion,
R906BK2,"JUMLAH PASAR DENGAN BANGUNAN PERMANEN (MEMILIKI ATAP, LANTAI, DAN DINDING)","The number of markets with permanent buildings (having roofs, floors and walls)",village level,total number of markets with permanent buildings,sum,
R906BK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR DENGAN BANGUNAN PERMANEN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market with the nearest permanent building (km)",village level,average distance to nearest permanent building,mean,
R906BK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR DENGAN BANGUNAN PERMANEN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market with the nearest permanent building",village level,proportion of ease of access to market with permanent building,proportion,
R906CK2,"JUMLAH PASAR DENGAN BANGUNAN SEMI PERMANEN (MEMILIKI ATAP DAN LANTAI, TANPA DINDING)","The number of markets with semi -permanent buildings (has a roof and floor, without walls)",village level,toal number of markets with semi permanent buildings,sum,
R906CK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR DENGAN BANGUNAN SEMI PERMANEN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market with the nearest semi -permanent building (km)",village level,average distance to market with semi permanent buildings,mean,
R906CK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR DENGAN BANGUNAN SEMI PERMANEN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market with the nearest semi -permanent building",village level,proportion of ease of access to marjet with nearest semi permanent building,proportion,
R906DK2,"JUMLAH PASAR TANPA BANGUNAN (MISALNYA: PASAR KAGET, PASAR SUBUH, PASAR TERAPUNG, DLL.)","The number of markets without buildings (for example: shocked markets, dawn markets, floating markets, etc.)",village level,total number of makets without buildings,sum,
R906DK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PASAR TANPA BANGUNAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the market without the nearest building (km)",village level,average distance to market without buildings,mean,
R906DK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PASAR TANPA BANGUNAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the market without the nearest building",village level,proportion of ease of reaching market without buidings ,proportion,
R906EK2,"JUMLAH MINIMARKET/SWALAYAN (TEMPAT USAHA DI BANGUNAN TETAP UNTUK MENJUAL BERBAGAI JENIS BARANG SECARA ECERAN DENGAN LABEL HARGA, SISTEM PELAYANAN MANDIRI, LUAS LANTAI < 400 M2)","Number of minimarkets/supermarkets (places of business in a fixed building to sell various types of goods in retail with a price label, independent service system, floor area <400 m2)",village level,total number of minimarkets,sum,
R906EK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE MINIMARKET/SWALAYAN TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest minimarket/supermarket (km)",village level,average distance to reach minimarket,mean,
R906EK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI MINIMARKET/SWALAYAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest minimarket/supermarket",village level,proportion of ease of access to reach minimarket,proportion,
R906FK2,"JUMLAH RESTORAN/RUMAH MAKAN (USAHA PANGAN SIAP SAJI DI BANGUNAN TETAP, PEMBELI BIASANYA DIKENAI PAJAK)","Number of restaurants/restaurants (fast food business in permanent buildings, buyers are usually subject to tax)",village level,total number of restaurants,sum,
R906FK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE RESTORAN/RUMAH MAKAN TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest restaurant/restaurant (km)",village level,average distance to the restaurant,mean,
R906FK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI RESTORAN/RUMAH MAKAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest restaurant/restaurant",village level,proportion of ease fo access to restaurant,proportion,
R906GK2,"JUMLAH WARUNG/KEDAI MAKANAN MINUMAN (USAHA PANGAN SIAP SAJI DI BANGUNAN TETAP, PEMBELI BIASANYA TIDAK DIKENAI PAJAK)","Number of food stalls/food stalls (ready -to -eat food business in a permanent building, buyers are usually not subject to tax)",village level,total number of food stalls,sum,
R906GK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE WARUNG/KEDAI MAKANAN MINUMAN TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to the nearest food stall/food stall (km)",village level,average distance to nearest food stall,mean,
R906GK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI WARUNG/KEDAI MAKANAN MINUMAN TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest food stall/food stall",village level,proportion of ease of access to nearest food stall,proportion,
R906HK2,"JUMLAH HOTEL (MENYEDIAKAN JASA AKOMODASI DAN ADA RESTORAN, PENGINAPAN DENGAN IZIN USAHA SEBAGAI HOTEL)","Number of hotels (providing accommodation services and restaurants, lodging with business permits as a hotel)",village level,total number of hotels,sum,
R906HK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE HOTEL TERDEKAT (KM)","If there is no [column (2) filled 0], distance to the nearest hotel (km)",village level,average distance to nearest hotel,mean,
R906HK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI HOTEL TERDEKAT","If there is no [column (2) filled with 0], it is easy to reach the nearest hotel",village level,proportion of ease of access to hotel ,proportion,
R906IK2,"JUMLAH PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA (MENYEDIAKAN AKOMODASI, PENGINAPAN DENGAN IZIN USAHA SEBAGAI BUKAN HOTEL)","Number of lodging: Hostel/Motel/Inn/Wisma (Providing accommodation, lodging with business licenses as non -hotel)",village level,total number of hostels,sum,
R906IK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA TERDEKAT (KM)","If there is no [column (2) filled with 0], distance to lodging: hostel/motel/inn/guesthouse nearest (km)",village level,average distance to nearest hostel,mean,
R906IK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI PENGINAPAN: HOSTEL/MOTEL/LOSMEN/WISMA TERDEKAT","If there is no [column (2) filled with 0], ease of achieving lodging: hostel/motel/inn/guesthouse nearest",village level,proportion of ease of access to hostel,proportion,
R906JK2,JUMLAH TOKO/WARUNG KELONTONG (TEMPAT USAHA DI BANGUNAN TETAP UNTUK MENJUAL BERBAGAI JENIS BARANG KEPERLUAN SEHARI-HARI SECARA ECERAN TANPA ADA SISTEM PELAYANAN MANDIRI),Number of Shops/Grocery Stalls (places of business in a fixed building to sell various types of daily necessities in retail without an independent service system),village level,total number of shops,sum,
R906JK3,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], JARAK KE TOKO/WARUNG KELONTONG TERDEKAT (KM)","If there is no [column (2) filled with 0], the distance to the nearest shop/stall (km)",village level,average distance to nearest shop,mean,
R906JK4,"JIKA TIDAK ADA [KOLOM (2) TERISI 0], KEMUDAHAN UNTUK MENCAPAI TOKO/WARUNG KELONTONG TERDEKAT","If there is no [column (2) filled with 0], the ease of reaching the nearest grocery store/stall",village level,proportion of ease of access to shop,proportion,
R1001,"KEBIASAAN DAN KETERLIBATAN WARGA DALAM KEGIATAN GOTONG ROYONG DI DESA/KELURAHAN UNTUK KEPENTINGAN UMUM/KOMUNITAS (SEPERTI: KERJA BAKTI, SISKAMLING, PESTA RAKYAT, DLL) SELAMA 1 TAHUN TERAKHIR","Habits and involvement of citizens in mutual cooperation activities in the village/kelurahan for the public interest/community (such as: community service, siskamling, people's parties, etc.) for the past 1 year",village level,proportion of citizens involved in community service,proportion,
R1002A,KEJADIAN PERKELAHIAN MASSAL DI DESA/KELURAHAN SELAMA SETAHUN TERAKHIR,Mass fights in the village/kelurahan for the past year,village level,proportion of incidents of mass fights,proportion,
R1002B,"JIKA ADA KEJADIAN PERKELAHIAN MASSAL, JUMLAH PERKELAHIAN MASSAL YANG TERJADI","If there is a mass fighting event, the amount of mass fighting that occurs",village level,total number of mass fighting events occurred,sum,
R1002C1,KEBERADAAN KORBAN: MENINGGAL,The existence of the victim: died,village level,proportion of victims died,proportion,
R1002C2,KEBERADAAN KORBAN: LUKA-LUKA,The existence of victims: injuries,village level,proportion of victims injured,proportion,
R1002D,PENYEBAB PERKELAHIAN: (PILIHAN BOLEH LEBIH DARI SATU),Causes of Fighting: (Choice may be more than one),village level,proportion of cause of fights,proportion,
R1003,UPAYA PENYELESAIAN PERKELAHIAN MASSAL DILAKUKAN OLEH: (PILIHAN BOLEH LEBIH DARI SATU),Efforts to resolve mass fights are carried out by: (options may be more than one),village level,proportion of efforts to resolve mass fights,proportion,
R100401K3,KEJADIAN PERKOSAAN/KEJAHATAN TERHADAP KESUSILAAN,Rape/crime against decency,village level,proportion of rape incidents,proportion,
R100401K4,KECENDERUNGAN PERKOSAAN/KEJAHATAN TERHADAP KESUSILAAN DIBANDING SETAHUN TERAKHIR,The tendency of rape/crime against decency compared to the last year,village level,proportion of trend of rape incidentst,proportion,
R100402K3,KEJADIAN PENYALAHGUNAAN/PEREDARAN NARKOBA,The incidence of drug abuse/trafficking,village level,proportion of drug abbuse,proportion,
R100402K4,KECENDERUNGAN PENYALAHGUNAAN/PEREDARAN NARKOBA DIBANDING SETAHUN TERAKHIR,The tendency of drug abuse/circulation compared to the last year,village level,proportion of trend of drug abbuse,proportion,
R100403K3,KEJADIAN PERDAGANGAN ORANG (TRAFFICKING),Trafficking trafficking events,village level,proportion of human trafficking,proportion,
R100403K4,KECENDERUNGAN PERDAGANGAN ORANG (TRAFFICKING) DIBANDING SETAHUN TERAKHIR,Trafficking trafficking tendencies compared to the last year,village level,proportion of trend of human trafficking,proportion,
R100404K3,KEJADIAN KORUPSI,Corruption incident,village level,proportion of corruption,proportion,
R100404K4,KECENDERUNGAN KORUPSI DIBANDING SETAHUN TERAKHIR,The tendency of corruption compared to the last year,village level,proportion of trend of corruption,proportion,
R1005A,PEMBANGUNAN/PEMELIHARAAN POS KEAMANAN LINGKUNGAN SELAMA SETAHUN TERAKHIR,Development/maintenance of environmental security posts over the past year,village level,proportion of maintanance of security posts,proportion,
R1005B,PEMBENTUKAN/PENGATURAN REGU KEAMANAN SELAMA SETAHUN TERAKHIR,The formation/setting of security teams for the past year,village level,proportion of formation of security teams,proportion,
R1005C,PENAMBAHAN JUMLAH ANGGOTA HANSIP/LINMAS SELAMA SETAHUN TERAKHIR,Increase in the number of Hansip/Linmas members for the past year,village level,proportion of increase in linmas members,proportion,
R1005D,PELAPORAN TAMU YANG MENGINAP LEBIH DARI 24 JAM KE APARAT LINGKUNGAN SELAMA SETAHUN TERAKHIR,Reporting guests who stayed more than 24 hours to the environmental officers for the past year,village level,proportion of guests stayed over 24hrs,proportion,
R1005E,PENGAKTIFAN SISTEM KEAMANAN LINGKUNGAN BERASAL DARI INISIATIF WARGA SELAMA SETAHUN TERAKHIR,Activation of the environmental security system comes from citizens' initiatives for the past year,village level,proportion of initiatives from citizens,proportion,
R1006A,JUMLAH MASJID DI DESA/KELURAHAN,The number of mosques in the village/kelurahan,village level,total number of mosques,sum,
R1006B,JUMLAH SURAU/LANGGAR/MUSHOLLA DI DESA/KELURAHAN,Number of Surau/Langgar/Musholla in the Village/Kelurahan,village level,total number of musholla,sum,
R1006C,JUMLAH GEREJA KRISTEN,Number of Christian Churches,village level,total number of churches,sum,
R1006D,JUMLAH GEREJA KATOLIK,Number of Catholic Churches,village level,total number of catholic churches,sum,
R1006E,JUMLAH KAPEL,Number of chapels,village level,total number of chapels,sum,
R1006F,JUMLAH PURA,Number of temples,village level,total number of puras,sum,
R1006G,JUMLAH WIHARA,Number of temples,village level,total number of temples,sum,
R1006H,JUMLAH KELENTENG,Number of temples,village level,total number of temples,sum,
R1006I,JUMLAH LAINNYA,Other quantities,village level,total number of others ,sum,
R1101AK2,KEJADIAN TANAH LONGSOR,Landslide incidence,village level,proportion of events,proportion,
R1101AK3,BANYAK KEJADIAN TANAH LONGSOR 2019,Many landslide events 2019,village level,total number of events,sum,
R1101AK4,KORBAN JIWA TANAH LONGSOR 2019,Landslide fatalities 2019,village level,total number of fatalities,sum,
R1101AK5,BANYAK KEJADIAN TANAH LONGSOR 2020 (JANUARI-MARET),Many landslide events 2020 (January-March),village level,total number of events,sum,
R1101AK6,KORBAN JIWA TANAH LONGSOR 2020 (JANUARI-MARET),Landslide fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101BK2,KEJADIAN BANJIR,Flood events,village level,proportion of events,proportion,
R1101BK3,BANYAK KEJADIAN BANJIR 2019,Many flood events 2019,village level,total number of events,sum,
R1101BK4,KORBAN JIWA BANJIR 2019,Flood fatalities 2019,village level,total number of fatalities,sum,
R1101BK5,BANYAK KEJADIAN BANJIR 2020 (JANUARI-MARET),Many flood events 2020 (January-March),village level,total number of events,sum,
R1101BK6,KORBAN JIWA BANJIR 2020 (JANUARI-MARET),Flood fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101CK2,KEJADIAN BANJIR BANDANG,Flash floods,village level,proportion of events,proportion,
R1101CK3,BANYAK KEJADIAN BANJIR BANDANG 2019,Many flash flood events 2019,village level,total number of events,sum,
R1101CK4,KORBAN JIWA BANJIR BANDANG 2019,Flash flood fatalities 2019,village level,total number of fatalities,sum,
R1101CK5,BANYAK KEJADIAN BANJIR BANDANG 2020 (JANUARI-MARET),Many flash flood events 2020 (January-March),village level,total number of events,sum,
R1101CK6,KORBAN JIWA BANJIR BANDANG 2020 (JANUARI-MARET),Flash Flood Life 2020 (January-March),village level,total number of fatalities,sum,
R1101DK2,KEJADIAN GEMPA BUMI,Earthquake incidence,village level,proportion of events,proportion,
R1101DK3,BANYAK KEJADIAN GEMPA BUMI 2019,Many earthquake events 2019,village level,total number of events,sum,
R1101DK4,KORBAN JIWA GEMPA BUMI 2019,Earthquake casualties 2019,village level,total number of fatalities,sum,
R1101DK5,BANYAK KEJADIAN GEMPA BUMI 2020 (JANUARI-MARET),Many Earthquakes 2020 (January-March),village level,total number of events,sum,
R1101DK6,KORBAN JIWA GEMPA BUMI 2020 (JANUARI-MARET),Earthquake casualties 2020 (January-March),village level,total number of fatalities,sum,
R1101EK2,KEJADIAN TSUNAMI,Tsunami events,village level,proportion of events,proportion,
R1101EK3,BANYAK KEJADIAN TSUNAMI 2019,Many tsunami events 2019,village level,total number of events,sum,
R1101EK4,KORBAN JIWA TSUNAMI 2019,Tsunami casualties 2019,village level,total number of fatalities,sum,
R1101EK5,BANYAK KEJADIAN TSUNAMI 2020 (JANUARI-MARET),Many Tsunami events 2020 (January-March),village level,total number of events,sum,
R1101EK6,KORBAN JIWA TSUNAMI 2020 (JANUARI-MARET),Tsunami fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101FK2,KEJADIAN GELOMBAN PASANG LAUT,The incidence of tides,village level,proportion of events,proportion,
R1101FK3,BANYAK KEJADIAN GELOMBAN PASANG LAUT 2019,Many Sea Tidal Events 2019,village level,total number of events,sum,
R1101FK4,KORBAN JIWA GELOMBAN PASANG LAUT 2019,Fatalities of seas tides 2019,village level,total number of fatalities,sum,
R1101FK5,BANYAK KEJADIAN GELOMBAN PASANG LAUT 2020 (JANUARI-MARET),Many events of sea tide 2020 (January-March),village level,total number of events,sum,
R1101FK6,KORBAN JIWA GELOMBAN PASANG LAUT 2020 (JANUARI-MARET),Cats of Sea Tidal Floms 2020 (January-March),village level,total number of fatalities,sum,
R1101GK2,KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN,The incidence of a quail/tornado/typhoon wind,village level,proportion of events,proportion,
R1101GK3,BANYAK KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN 2019,Many quail/tornado/typhoon 2019 wind events,village level,total number of events,sum,
R1101GK4,KORBAN JIWA ANGIN PUYUH/PUTING BELIUNG/TOPAN 2019,Casting Wind Faith/Nipples/Typhoon 2019,village level,total number of fatalities,sum,
R1101GK5,BANYAK KEJADIAN ANGIN PUYUH/PUTING BELIUNG/TOPAN 2020 (JANUARI-MARET),Many Winds of Quail/Tornado/Typhoon 2020 (January-March),village level,total number of events,sum,
R1101GK6,KORBAN JIWA ANGIN PUYUH/PUTING BELIUNG/TOPAN 2020 (JANUARI-MARET),Casting a Fair Wind/Tornado/Typhoon 2020 (January-March),village level,total number of fatalities,sum,
R1101HK2,KEJADIAN GUNUNG MELETUS,The incidence of volcanic erupted,village level,proportion of events,proportion,
R1101HK3,BANYAK KEJADIAN GUNUNG MELETUS 2019,Many Mount Eruptions 2019,village level,total number of events,sum,
R1101HK4,KORBAN JIWA GUNUNG MELETUS 2019,Volcanic Life Erupts 2019,village level,total number of fatalities,sum,
R1101HK5,BANYAK KEJADIAN GUNUNG MELETUS 2020 (JANUARI-MARET),Many Mount Eruptions 2020 (January-March),village level,total number of events,sum,
R1101HK6,KORBAN JIWA GUNUNG MELETUS 2020 (JANUARI-MARET),Mount erupting fatalities 2020 (January-March),village level,total number of fatalities,sum,
R1101IK2,KEJADIAN KEBAKARAN HUTAN DAN LAHAN,Forest and land fires,village level,proportion of events,proportion,
R1101IK3,BANYAK KEJADIAN KEBAKARAN HUTAN DAN LAHAN 2019,Many Forest and Land Fire Events 2019,village level,total number of events,sum,
R1101IK4,KORBAN JIWA KEBAKARAN HUTAN DAN LAHAN 2019,Forest and Land Fire Lats 2019,village level,total number of fatalities,sum,
R1101IK5,BANYAK KEJADIAN KEBAKARAN HUTAN DAN LAHAN 2020 (JANUARI-MARET),Many Forest and Land Fires 2020 (January-March),village level,total number of events,sum,
R1101IK6,KORBAN JIWA KEBAKARAN HUTAN DAN LAHAN 2020 (JANUARI-MARET),Forest and Land Fire Cats 2020 (January-March),village level,total number of fatalities,sum,
R1101JK2,KEJADIAN KEKERINGAN (LAHAN),Drought (land),village level,proportion of events,proportion,
R1101JK3,BANYAK KEJADIAN KEKERINGAN (LAHAN) 2019,Many drought events (land) 2019,village level,total number of events,sum,
R1101JK4,KORBAN JIWA KEKERINGAN (LAHAN) 2019,Drought casualties (land) 2019,village level,total number of fatalities,sum,
R1101JK5,BANYAK KEJADIAN KEKERINGAN (LAHAN) 2020 (JANUARI-MARET),Many drought (land) 2020 (January-March),village level,total number of events,sum,
R1101JK6,KORBAN JIWA KEKERINGAN (LAHAN) 2020 (JANUARI-MARET),Drought casualties (land) 2020 (January-March),village level,total number of fatalities,sum,
R1102A,SISTEM PERINGATAN DINI BENCANA ALAM,Natural disaster early warning system,village level,proportion of early warning systems,proportion,
R1102B,SISTEM PERINGATAN DINI KHUSUS TSUNAMI,Special tsunami early warning system,village level,proportion of early warning systems,proportion,
R1102C,"PERLENGKAPAN KESELAMATAN (PERAHU KARET, TENDA, MASKER, DLL.)","Safety equipment (rubber boats, tents, masks, etc.)",village level,proportion of safety equipment,proportion,
R1102D,RAMBU-RAMBU DAN JALUR EVAKUASI BENCANA,Signs and Disaster Evacuation Routes,village level,proportion of signs and evacuation roots,proportion,
R1102E,"PEMBUATAN, PERAWATAN, ATAU NORMALISASI: SUNGAI, KANAL, TANGGUL, PARIT, DRAINASE, WADUK, PANTAI, DLL","Manufacturing, maintenance, or normalization: rivers, canals, embankments, ditches, drainage, reservoirs, beaches, etc.",village level,proportion of maintenance of rivers etc,proportion,
R1201A,TANAH KAS DESA/ULAYAT,Village cash/customary land,village level,proportion of village asset ownership,proportion,
R1201B,"BANGUNAN MILIK DESA (BALAI DESA, BALAI RAKYAT, DLL.)","Village -owned buildings (Village Hall, Rakyat Hall, etc.)",village level,proportion of village owned buildings ,proportion,
R1201C,ASET DESA LAINNYA,Other village assets,village level,proportion of other assets,proportion,
R1202,JUMLAH UNIT USAHA BUMDES:,Number of BUMDes Business Units:,village level,total number of business units,sum,
R1203,"JUMLAH PASAR DESA (PASAR HEWAN, PELELANGAN IKAN, PELELANGAN HASIL PERTANIAN, DLL.)","The number of village markets (animal markets, fish auctions, agricultural auctions, etc.)",village level,total number of village markets,sum,
R1204,JUMLAH TAMBATAN PERAHU,Number of boat mooring,village level,total number of boat mooring,sum,
R1301AK2,KEBERADAAN : KEPALA DESA/LURAH,Existence: Village Head/Lurah,village level,proportion of existrnce of village head,proportion,
R1301AK3,UMUR KEPALA DESA/LURAH,Age of the Village Head/Lurah,village level,average age of village head,mean,
R1301AK4,JENIS KELAMIN KEPALA DESA/LURAH,The gender of the village head/lurah,village level,proportion of gender,proportion,
R1301AK5,PENDIDIKAN TERTINGGI YANG DITAMATKAN KEPALA DESA/LURAH,The highest education completed by the village head/lurah,village level,proportion of highest education,proportion,
R1301BK2,KEBERADAAN : SEKRETARIS DESA/SEKRETARIS KELURAHAN,Existence: Village Secretary/Village Secretary,village level,proportion of existrnce of village sec,proportion,
R1301BK3,UMUR SEKRETARIS DESA/SEKRETARIS KELURAHAN,Age of the Village Secretary/Village Secretary,village level,average age of village sec,mean,
R1301BK4,JENIS KELAMIN SEKRETARIS DESA/SEKRETARIS KELURAHAN,The sex of the village secretary/kelurahan secretary,village level,proportion of gender,proportion,
R1301BK5,PENDIDIKAN TERTINGGI YANG DITAMATKAN SEKRETARIS DESA/SEKRETARIS KELURAHAN,The highest education completed by the Village Secretary/Village Secretary,village level,proportion of highest education,proportion,
R1302A,"JUMLAH SEKRETARIAT DESA/KELURAHAN (KAUR KEUANGAN, KAUR PERENCANAAN, DLL)","Number of Village/Kelurahan Secretariat (Kaur Finance, Planning Kaur, etc.)",village level,total number of village secreteriat,sum,
R1302B,"JUMLAH PELAKSANA TEKNIS (KASI PEMERINTAHAN, KASI KESEJAHTERAAN, DLL)","Number of Technical Implementers (Head of Government, Head of Welfare, etc.)",village level,total number of technical implementers,sum,
